id_inmueble,area_m2,habitaciones,estrato,antiguedad_anios,distancia_centro_km,precio_millones
INM-01161,139.3,4,4,19,4.82,610.35
INM-01162,101.8,3,5,7,0.07,749.68
INM-01163,67.0,1,2,8,0.3,151.78
INM-01164,118.3,4,3,20,0.47,354.4
INM-01165,84.7,3,3,19,2.44,231.27
INM-01166,78.4,3,4,14,7.59,333.99
INM-01167,64.6,1,3,25,9.86,169.4
INM-01168,35.0,1,2,10,1.26,71.66
INM-01169,103.1,4,4,10,3.84,452.09
INM-01170,36.2,2,3,26,6.58,99.42
INM-01171,61.2,3,4,29,1.53,239.27
INM-01172,98.0,3,3,18,2.37,296.25
INM-01173,70.0,2,3,33,3.34,179.96
INM-01174,89.7,2,4,22,0.65,396.78
INM-01175,48.6,2,4,0,0.12,248.87
INM-01176,74.5,2,3,2,0.75,246.07
INM-01177,89.9,3,3,2,4.44,268.66
INM-01178,56.5,2,3,27,0.34,165.79
INM-01179,135.6,3,2,13,0.95,303.09
INM-01180,65.9,2,3,29,1.86,183.58
INM-01181,126.4,5,2,4,0.36,300.01
INM-01182,80.0,3,4,14,0.96,354.66
INM-01183,37.9,2,4,13,10.9,138.4
INM-01184,50.9,2,3,13,0.09,169.71
INM-01185,90.3,2,3,7,4.77,278.66
INM-01186,116.0,4,3,7,2.18,361.94
INM-01187,138.1,5,3,18,5.03,365.7
INM-01188,88.8,4,5,31,4.0,455.89
INM-01189,49.7,1,4,30,1.14,195.82
INM-01190,93.4,2,4,28,8.45,357.62
INM-01191,60.2,2,5,10,3.05,427.53
INM-01192,96.8,4,3,12,7.78,291.53
INM-01193,56.8,3,2,26,2.34,114.83
INM-01194,35.0,1,4,18,18.81,121.64
INM-01195,124.5,3,2,25,6.62,223.0
INM-01196,78.2,2,4,8,15.21,282.99
INM-01197,86.5,3,4,27,3.25,363.55
INM-01198,114.9,4,4,31,2.89,427.05
INM-01199,141.4,5,3,2,6.34,425.12
INM-01200,106.6,3,3,31,9.55,239.61
INM-01201,88.1,4,4,4,14.98,346.06
INM-01202,98.9,3,5,7,1.77,667.1
INM-01203,76.2,3,4,13,7.21,303.45
INM-01204,86.1,3,6,2,1.06,870.65
INM-01205,89.3,3,2,23,3.55,180.42
INM-01206,61.4,2,3,12,0.89,196.41
INM-01207,85.6,3,3,28,1.92,248.1
INM-01208,96.0,2,2,7,12.05,170.77
INM-01209,100.5,3,5,30,0.71,557.73
INM-01210,98.1,3,6,25,4.5,802.01
INM-01211,44.8,1,2,17,4.04,88.46
INM-01212,121.9,3,2,17,0.58,262.05
INM-01213,119.4,4,3,6,1.78,408.03
INM-01214,82.1,1,5,15,3.73,541.18
INM-01215,98.7,4,3,32,0.93,283.03
INM-01216,78.5,3,2,2,7.26,162.84
INM-01217,107.6,5,2,3,16.12,182.68
INM-01218,60.6,2,3,3,1.09,205.91
INM-01219,125.3,4,6,8,0.93,1148.38
INM-01220,106.1,4,3,16,2.73,305.57
INM-01221,106.8,3,3,16,6.2,286.99
INM-01222,81.8,3,2,32,1.49,146.47
INM-01223,42.6,2,3,19,0.09,121.06
INM-01224,111.5,4,4,13,3.51,461.89
INM-01225,43.6,2,3,21,14.12,105.17
INM-01226,111.9,3,3,26,2.23,315.12
INM-01227,61.8,3,5,2,2.45,454.89
INM-01228,37.4,1,2,23,15.62,59.14
INM-01229,85.0,4,4,29,5.34,304.06
INM-01230,120.5,3,3,7,5.72,354.41
INM-01231,56.0,3,3,21,3.72,148.5
INM-01232,133.0,5,4,24,16.53,456.48
INM-01233,104.7,3,5,9,5.25,704.61
INM-01234,89.7,4,4,28,10.14,302.79
INM-01235,71.9,2,2,0,5.41,154.53
INM-01236,74.0,2,3,20,5.98,217.9
INM-01237,97.9,5,3,23,1.54,285.07
INM-01238,110.4,4,3,8,1.63,372.99
INM-01239,67.2,1,4,25,6.88,248.8
INM-01240,60.8,2,2,8,1.58,128.24
INM-01241,78.6,2,3,19,3.72,235.43
INM-01242,126.8,4,4,34,1.29,507.36
INM-01243,48.5,2,3,8,7.64,145.99
INM-01244,119.3,4,4,21,0.53,529.38
INM-01245,86.3,2,3,0,7.96,268.69
INM-01246,35.4,1,3,4,4.15,117.19
INM-01247,71.2,3,6,8,0.93,670.28
INM-01248,103.3,3,3,18,3.51,292.31
INM-01249,139.1,5,3,7,1.49,479.56
INM-01250,45.2,1,4,31,1.76,173.7
INM-01251,35.0,1,6,12,1.95,329.2
INM-01252,45.7,1,6,19,0.29,427.65
INM-01253,118.9,3,4,29,19.2,378.92
INM-01254,35.0,1,2,9,0.14,77.73
INM-01255,129.9,3,5,30,4.89,705.0
INM-01256,121.4,4,4,24,2.09,536.65
INM-01257,90.7,3,3,28,4.67,248.95
INM-01258,66.2,1,5,23,1.98,419.14
INM-01259,86.7,3,3,20,5.04,239.82
INM-01260,103.3,4,2,8,5.88,207.38
INM-01261,98.8,4,5,1,5.28,689.32
INM-01262,137.2,5,3,3,0.54,494.38
INM-01263,77.2,2,3,7,4.81,253.06
INM-01264,46.0,2,3,31,1.48,115.54
INM-01265,40.7,2,4,13,0.13,189.8
INM-01266,35.0,1,3,12,2.41,107.54
INM-01267,90.9,2,3,20,2.56,283.21
INM-01268,78.0,2,4,23,2.83,335.13
INM-01269,86.0,3,5,17,5.49,513.71
INM-01270,68.9,2,3,25,1.66,179.28
INM-01271,51.7,2,4,31,1.7,207.28
INM-01272,103.4,4,4,32,0.28,388.64
INM-01273,35.0,2,4,30,5.22,139.61
INM-01274,61.0,2,3,17,3.78,184.6
INM-01275,108.6,4,5,34,1.93,598.87
INM-01276,58.0,1,3,11,5.5,169.96
INM-01277,96.8,3,2,24,3.47,194.88
INM-01278,61.0,3,3,30,2.85,155.99
INM-01279,71.3,2,4,9,3.22,317.35
INM-01280,102.2,3,2,33,4.55,188.1
INM-01281,46.7,3,2,2,4.85,107.54
INM-01282,107.4,5,4,7,1.53,545.55
INM-01283,86.4,3,5,31,0.68,477.72
INM-01284,122.7,3,4,28,0.77,478.12
INM-01285,91.2,4,3,21,4.59,234.3
INM-01286,52.9,1,2,19,9.28,90.77
INM-01287,136.8,5,4,5,2.37,691.1
INM-01288,55.4,2,2,28,0.84,101.16
INM-01289,78.2,4,4,16,6.36,338.62
INM-01290,113.7,3,3,30,8.04,265.49
INM-01291,35.0,3,5,33,9.56,170.02
INM-01292,128.2,4,3,3,4.2,443.42
INM-01293,50.5,3,3,1,8.87,145.95
INM-01294,71.4,2,5,11,0.07,483.98
INM-01295,93.7,2,3,34,0.51,240.09
INM-01296,83.7,1,3,5,0.44,263.29
INM-01297,108.7,5,5,7,5.61,708.91
INM-01298,37.0,1,3,20,0.32,108.68
INM-01299,106.8,3,3,34,3.09,280.1
INM-01300,109.2,5,3,14,2.88,346.61
INM-01301,115.9,5,2,6,1.67,261.64
INM-01302,37.3,2,2,14,9.2,64.39
INM-01303,40.9,1,4,5,0.84,206.51
INM-01304,74.7,3,4,16,1.96,310.98
INM-01305,44.2,2,3,3,6.7,138.77
INM-01306,35.0,2,3,21,0.14,107.36
INM-01307,73.4,3,6,31,5.03,530.95
INM-01308,92.0,3,6,21,7.63,766.98
INM-01309,169.0,6,3,26,12.11,422.0
INM-01310,101.5,4,5,14,9.4,619.38
INM-01311,137.6,5,4,21,1.73,575.96
INM-01312,83.7,2,3,27,3.97,226.53
INM-01313,101.8,3,2,8,0.36,244.62
INM-01314,80.6,1,2,33,1.34,141.58
INM-01315,165.5,5,5,8,0.45,1223.42
INM-01316,64.4,3,4,14,1.7,271.26
INM-01317,68.5,3,4,19,9.36,244.38
INM-01318,108.9,3,2,7,1.92,251.43
INM-01319,91.2,4,4,27,3.71,378.4
INM-01320,72.3,4,4,18,2.56,330.58
INM-01321,113.8,3,5,15,2.76,782.64
INM-01322,83.8,3,2,10,15.72,134.2
INM-01323,83.6,2,4,7,1.58,386.31
INM-01324,91.9,3,2,32,4.44,170.08
INM-01325,35.0,1,4,9,2.45,155.78
INM-01326,37.2,1,4,17,0.28,174.65
INM-01327,117.6,4,2,34,3.02,206.33
INM-01328,64.7,2,4,2,7.55,274.54
INM-01329,81.0,3,2,26,0.47,152.47
INM-01330,133.4,5,5,27,0.32,810.14
INM-01331,82.4,3,3,5,0.75,290.69
INM-01332,78.7,2,4,13,6.51,346.82
INM-01333,111.9,4,6,6,5.79,1047.89
INM-01334,67.1,3,3,9,3.75,207.54
INM-01335,121.1,4,3,14,2.84,354.24
INM-01336,111.3,4,3,30,9.86,246.25
INM-01337,139.9,4,2,28,6.55,239.89
INM-01338,64.3,2,4,16,7.52,243.55
INM-01339,126.0,3,4,28,7.55,445.53
INM-01340,101.6,3,5,14,4.63,632.68
INM-01341,45.2,1,5,25,2.76,264.6
INM-01342,35.0,1,3,11,9.0,90.67
INM-01343,61.1,2,4,24,11.72,220.98
INM-01344,93.8,2,5,4,0.11,688.1
INM-01345,98.1,3,3,3,0.24,312.32
INM-01346,83.2,3,2,30,14.35,132.57
INM-01347,83.5,3,3,2,1.46,263.78
INM-01348,81.2,2,5,2,9.3,546.04
INM-01349,115.9,4,4,25,2.22,442.23
INM-01350,41.9,2,4,16,0.57,203.56
INM-01351,93.0,3,2,9,0.38,191.97
INM-01352,60.3,2,6,1,0.77,647.09
INM-01353,57.8,3,3,23,1.29,162.76
INM-01354,120.3,3,4,10,3.02,576.59
INM-01355,55.5,2,2,23,5.44,101.02
INM-01356,80.8,3,2,34,19.34,97.7
INM-01357,143.8,5,4,22,2.62,633.76
INM-01358,110.1,4,6,31,3.29,801.49
INM-01359,71.4,1,3,22,3.32,214.45
INM-01360,73.8,3,2,33,3.49,119.8
INM-01361,48.2,2,3,18,3.28,139.73
INM-01362,124.0,3,2,1,0.04,305.88
INM-01363,115.3,4,2,1,0.01,270.05
INM-01364,105.6,4,4,14,0.46,469.63
INM-01365,108.9,3,6,20,0.48,1016.76
INM-01366,61.8,3,2,34,5.49,108.43
INM-01367,38.6,1,4,4,1.03,205.08
INM-01368,101.8,4,3,26,10.13,242.27
INM-01369,111.7,4,2,23,11.88,185.02
INM-01370,133.2,5,3,6,16.76,327.02
INM-01371,79.0,3,4,5,12.59,309.06
INM-01372,74.6,3,2,32,1.43,141.42
INM-01373,77.8,3,3,16,3.21,224.25
INM-01374,105.1,3,2,29,0.87,196.13
INM-01375,76.5,3,3,7,7.38,222.95
INM-01376,83.4,3,2,6,9.87,168.92
INM-01377,109.9,4,5,5,8.58,739.36
INM-01378,66.2,3,4,3,2.56,332.72
INM-01379,126.7,3,5,0,6.4,855.12
INM-01380,104.0,3,3,14,0.46,340.63
INM-01381,35.0,1,3,30,0.18,98.69
INM-01382,69.5,2,3,24,6.3,170.38
INM-01383,35.0,2,2,32,2.49,58.69
INM-01384,79.1,1,4,34,24.37,184.15
INM-01385,70.1,3,3,4,0.46,235.2
INM-01386,110.0,5,3,4,8.71,342.29
INM-01387,58.6,2,4,16,2.94,250.92
INM-01388,96.6,3,3,13,7.9,265.89
INM-01389,102.1,4,6,28,7.65,813.01
INM-01390,92.7,3,3,7,11.15,270.8
INM-01391,119.2,4,4,33,1.59,477.58
INM-01392,147.0,4,3,0,13.46,395.3
INM-01393,88.4,2,6,28,0.74,692.77
INM-01394,97.2,3,3,28,0.38,250.9
INM-01395,58.6,2,4,4,2.54,266.99
INM-01396,54.4,1,2,31,7.93,87.08
INM-01397,116.0,5,4,23,2.89,488.16
INM-01398,112.0,3,3,18,7.95,280.7
INM-01399,54.1,2,3,11,5.89,150.06
INM-01400,45.8,3,5,0,1.06,320.79
INM-01401,65.5,2,6,6,13.38,537.75
INM-01402,80.8,4,3,16,0.28,254.7
INM-01403,72.7,2,5,33,10.28,357.52
INM-01404,89.8,4,2,6,1.63,193.38
INM-01405,112.5,3,5,16,3.12,699.46
INM-01406,98.9,3,4,2,2.47,456.78
INM-01407,101.1,2,3,28,0.85,268.58
INM-01408,35.0,1,5,21,2.0,231.02
INM-01409,36.6,2,5,28,0.96,234.21
INM-01410,61.1,3,3,4,1.03,209.49
INM-01411,66.1,1,4,29,0.93,288.14
INM-01412,110.2,4,2,22,3.02,218.49
INM-01413,58.6,2,5,20,7.2,311.97
INM-01414,105.0,4,4,25,3.79,458.61
INM-01415,61.4,2,2,20,10.07,100.68
INM-01416,49.0,1,4,19,4.55,211.85
INM-01417,50.4,2,4,22,5.26,196.15
INM-01418,152.7,5,4,3,4.96,707.09
INM-01419,60.8,2,3,20,2.69,179.72
INM-01420,105.7,3,3,20,5.26,290.08
INM-01421,38.3,1,4,0,0.33,190.26
INM-01422,127.6,5,3,14,8.84,340.16
INM-01423,95.5,2,3,16,6.77,259.91
INM-01424,93.2,4,4,13,1.27,463.9
INM-01425,97.4,3,2,18,6.58,192.94
INM-01426,100.7,4,4,33,0.06,399.65
INM-01427,109.3,3,4,5,1.1,513.51
INM-01428,67.0,2,4,5,0.3,351.35
INM-01429,65.3,2,3,4,6.82,188.49
INM-01430,86.5,3,3,6,6.35,250.25
INM-01431,105.5,3,3,32,7.56,248.6
INM-01432,83.0,3,5,12,0.02,604.73
INM-01433,108.2,3,2,0,3.13,232.91
INM-01434,103.5,3,6,12,5.49,858.27
INM-01435,78.5,4,4,26,0.76,329.78
INM-01436,35.0,1,5,6,4.72,225.31
INM-01437,69.9,3,3,2,0.4,242.41
INM-01438,137.3,4,3,24,0.9,391.37
INM-01439,95.2,4,5,32,2.91,524.36
INM-01440,65.8,3,2,16,4.77,122.12
INM-01441,92.5,3,2,13,0.71,188.18
INM-01442,105.3,4,3,22,0.92,323.29
INM-01443,65.8,2,6,23,1.03,605.95
INM-01444,122.1,4,4,28,1.23,479.79
INM-01445,99.9,4,4,26,1.16,391.72
INM-01446,52.0,1,4,22,2.26,205.21
INM-01447,110.7,3,3,30,4.77,289.11
INM-01448,72.7,3,4,16,2.59,333.78
INM-01449,79.6,3,3,2,6.73,241.94
INM-01450,54.5,2,5,4,5.72,373.66
INM-01451,103.9,3,3,14,0.61,336.09
INM-01452,80.5,2,3,5,0.23,289.82
INM-01453,105.2,5,3,9,9.46,275.44
INM-01454,68.5,2,3,31,0.37,177.49
INM-01455,65.0,2,4,22,0.72,263.33
INM-01456,62.6,3,3,16,0.1,205.71
INM-01457,96.9,4,3,19,4.45,287.26
INM-01458,64.6,2,3,14,3.93,194.21
INM-01459,78.9,1,4,21,19.51,231.06
INM-01460,69.4,2,2,5,9.81,132.11
INM-01461,98.2,4,4,3,2.38,466.47
INM-01462,35.0,2,3,22,2.09,101.36
INM-01463,92.4,4,3,18,1.58,265.27
INM-01464,136.9,5,3,30,0.74,348.75
INM-01465,122.1,5,6,2,0.67,1297.6
INM-01466,66.5,2,4,27,0.64,268.82
INM-01467,99.8,2,3,2,0.55,338.97
INM-01468,94.0,3,4,13,1.24,410.08
INM-01469,129.1,4,5,17,1.65,872.19
INM-01470,35.0,1,3,26,14.67,78.97
INM-01471,118.4,5,5,9,3.89,833.85
INM-01472,77.0,3,2,14,19.75,117.22
INM-01473,62.7,2,5,18,2.1,426.17
INM-01474,61.8,2,3,8,2.75,208.04
INM-01475,46.0,1,3,3,1.77,155.31
INM-01476,66.6,3,3,14,0.91,221.78
INM-01477,52.6,1,6,7,0.7,505.01
INM-01478,90.4,2,4,0,13.06,369.87
INM-01479,102.7,3,4,6,19.48,335.78
INM-01480,77.3,3,2,30,0.21,148.18
INM-01481,130.0,6,3,17,0.73,410.54
INM-01482,68.5,3,3,11,2.48,222.38
INM-01483,75.7,3,2,29,0.93,134.78
INM-01484,70.8,2,3,32,2.04,184.74
INM-01485,103.0,3,5,6,0.62,695.27
INM-01486,106.0,4,4,27,2.74,439.77
INM-01487,99.9,5,3,2,1.43,318.9
INM-01488,81.3,3,4,5,1.95,421.64
INM-01489,44.8,1,6,30,0.45,353.2
INM-01490,75.4,2,4,14,2.51,328.98
INM-01491,129.3,5,4,6,18.4,492.53
INM-01492,115.4,4,6,29,1.79,933.55
INM-01493,93.8,4,4,26,9.41,316.57
INM-01494,73.5,2,2,16,8.34,136.93
INM-01495,84.6,3,3,17,13.67,193.59
INM-01496,73.6,3,6,21,7.03,635.48
INM-01497,120.8,4,3,25,4.85,327.99
INM-01498,59.8,3,2,26,8.74,98.03
INM-01499,112.7,4,3,23,0.35,332.56
INM-01500,69.1,2,4,7,2.8,305.2
