id_cliente,edad,ingreso_mensual,antiguedad_laboral_meses,score_credito,ratio_deuda_ingreso,riesgo_default
CLI-01113,47,6853300.89,134,727,0.129,0
CLI-01114,51,3566376.47,107,443,0.468,1
CLI-01115,56,5794445.65,43,806,0.389,0
CLI-01116,56,4614017.14,90,452,0.069,0
CLI-01117,46,7989364.32,162,572,0.316,1
CLI-01118,63,2196502.03,138,535,0.124,0
CLI-01119,47,6399240.99,97,818,0.422,0
CLI-01120,25,7349246.35,26,533,0.327,1
CLI-01121,40,2374046.02,114,844,0.479,0
CLI-01122,31,5609166.44,52,511,0.614,0
CLI-01123,30,2462103.63,89,596,0.26,0
CLI-01124,60,4254290.83,88,380,0.723,1
CLI-01125,58,3738141.73,40,401,0.425,1
CLI-01126,26,1300000.0,74,694,0.483,1
CLI-01127,28,4963621.67,134,425,0.526,1
CLI-01128,43,4458010.5,145,734,0.517,0
CLI-01129,67,6862342.15,32,788,0.408,0
CLI-01130,46,5300058.58,61,627,0.35,0
CLI-01131,66,8323591.06,28,389,0.088,0
CLI-01132,63,4392676.29,158,450,0.065,1
CLI-01133,32,4010045.91,26,460,0.301,1
CLI-01134,46,3868158.03,66,734,0.284,0
CLI-01135,33,3408740.32,68,670,0.321,0
CLI-01136,60,1300000.0,127,598,0.147,1
CLI-01137,38,3803649.67,57,540,0.567,0
CLI-01138,45,1300000.0,93,839,0.65,0
CLI-01139,53,5013660.02,158,531,0.707,1
CLI-01140,67,1967891.47,60,775,0.395,0
CLI-01141,60,2590201.28,51,754,0.541,0
CLI-01142,63,2995061.65,37,684,0.649,1
CLI-01143,32,3831116.93,60,558,0.343,0
CLI-01144,64,4212362.86,101,371,0.267,1
CLI-01145,56,6152063.25,138,515,0.706,1
CLI-01146,24,3160445.83,41,448,0.411,1
CLI-01147,25,5064263.05,115,842,0.398,0
CLI-01148,57,9115561.02,111,557,0.175,0
CLI-01149,28,4879231.26,63,357,0.126,1
CLI-01150,62,3875118.38,44,539,0.639,0
CLI-01151,48,2797527.03,85,524,0.48,1
CLI-01152,51,3850203.22,102,622,0.278,0
CLI-01153,29,2604803.38,118,366,0.184,1
CLI-01154,49,4683590.57,66,439,0.439,1
CLI-01155,34,4386379.45,142,490,0.459,1
CLI-01156,60,1300000.0,11,494,0.195,0
CLI-01157,61,4166595.59,114,515,0.646,1
CLI-01158,42,6137063.36,40,686,0.109,0
CLI-01159,31,3481598.67,44,845,0.299,0
CLI-01160,43,3024785.81,155,427,0.526,1
CLI-01161,21,1720138.61,174,778,0.242,0
CLI-01162,66,1300000.0,123,611,0.629,1
CLI-01163,57,5696428.68,10,512,0.568,1
CLI-01164,41,3873339.01,175,715,0.602,0
CLI-01165,46,5589638.81,92,363,0.133,1
CLI-01166,66,6956382.74,81,588,0.148,0
CLI-01167,56,5858245.83,163,421,0.251,0
CLI-01168,43,3223729.82,62,794,0.413,0
CLI-01169,21,4460761.8,132,492,0.574,1
CLI-01170,60,3093408.84,34,659,0.636,1
CLI-01171,35,2925080.77,170,632,0.543,0
CLI-01172,41,4817067.29,92,618,0.7,0
CLI-01173,67,2701871.01,146,590,0.567,1
CLI-01174,29,1300000.0,165,764,0.264,1
CLI-01175,29,2601333.79,51,594,0.236,0
CLI-01176,30,3647613.93,121,512,0.537,1
CLI-01177,46,6938517.3,117,409,0.185,0
CLI-01178,61,3316312.59,156,355,0.115,1
CLI-01179,55,5121463.36,50,546,0.423,0
CLI-01180,45,3897045.18,150,819,0.625,0
CLI-01181,46,6407529.26,109,407,0.121,0
CLI-01182,31,6282773.49,90,654,0.604,1
CLI-01183,58,6317115.19,139,756,0.618,0
CLI-01184,22,1300000.0,113,566,0.388,0
CLI-01185,27,4572103.29,23,767,0.09,1
CLI-01186,38,5566089.48,99,375,0.172,0
CLI-01187,47,4886769.41,155,652,0.545,0
CLI-01188,54,5345873.39,38,354,0.548,1
CLI-01189,47,4305031.81,163,823,0.679,1
CLI-01190,37,2859388.43,131,369,0.458,1
CLI-01191,63,1300000.0,165,739,0.137,1
CLI-01192,64,3037975.03,175,547,0.135,0
CLI-01193,44,9020597.77,127,408,0.555,1
CLI-01194,45,3325827.88,143,797,0.179,0
CLI-01195,27,1300000.0,120,591,0.28,1
CLI-01196,26,5518768.85,169,495,0.391,0
CLI-01197,44,5739828.02,167,737,0.067,0
CLI-01198,53,6517183.9,33,622,0.224,0
CLI-01199,49,5047761.31,16,598,0.336,0
CLI-01200,63,5722082.73,172,363,0.246,1
